,x,t0
AV_n9_t3,AVEM Experience of success at work T3 (Stanine-Werte),0
AV_n10_t3,AVEM Satisfaction with life T3 (Stanine-Werte),0
AV_n11_t3,AVEM Experience of social support T3 (Stanine-Werte),0
sibar_risk,"SIBAR Risk Score (0-19, Cutoff 8) T0",0
sibar_risk_di,SIBAR Risc Score > 8 T0,0
sibar_risk_t1,"SIBAR Risk Score (0-19, Cutoff 8) T1",0
sibar_risk_di_t1,SIBAR Risc Score > 8 T1,0
sibar_riskt2,"SIBAR Risk Score (0-19, Cutoff 8) T2",0
sibar_riskdi_t2,SIBAR Risc Score > 8 T2,0
sibar_riskt3,"SIBAR Risk Score (0-19, Cutoff 8) T3",0
sibar_riskdi_t3,SIBAR Risc Score > 8 T3,0
